course_id,title,facility,lat,lng,weekday,start_time,sport,tag_strength,tag_endurance,tag_flex,tag_cardio,tag_power
C0001,스포츠댄스초급,서창동 행정복지센터,35.416253,129.173146,화,10:40,댄스,0,1,0,1,0
C0002,에너지 업 놀이체육,소도지역아동센터,37.157873,128.989341,목,15:00,생활체육,1,1,0,0,0
C0003,랄랄라 라인댄스&스텝박스,동해교육도서관,37.538723,129.109818,화,15:00,댄스,0,1,0,1,0
C0004,테라피요가(A),동해교육도서관,37.538723,129.109818,금,10:00,요가,1,0,1,0,0
C0005,테라피요가(B),동해교육도서관,37.538723,129.109818,금,11:00,요가,1,0,1,0,0
C0006,웰빙요가(오후),대전광역시동부여성가족원,36.374843,127.428228,화,13:30,요가,1,0,1,0,0
C0007,웰빙요가(오후),대전광역시동부여성가족원,36.374843,127.428228,목,13:30,요가,1,0,1,0,0
C0008,웰빙요가(야간),대전광역시동부여성가족원,36.374843,127.428228,월,19:00,요가,1,0,1,0,0
C0009,웰빙요가(야간),대전광역시동부여성가족원,36.374843,127.428228,수,19:00,요가,1,0,1,0,0
C0010,라인댄스,대전광역시동부여성가족원,36.374843,127.428228,월,14:00,댄스,0,1,0,1,0
C0011,라인댄스,대전광역시동부여성가족원,36.374843,127.428228,수,14:00,댄스,0,1,0,1,0
C0012,댄스스포츠(야간),대전광역시동부여성가족원,36.374843,127.428228,화,19:00,댄스,0,1,0,1,0
C0013,댄스스포츠(야간),대전광역시동부여성가족원,36.374843,127.428228,목,19:00,댄스,0,1,0,1,0
C0014,다이어트벨리댄스(야간),대전광역시남부여성가족원,36.301876,127.460308,화,19:00,댄스,0,1,0,1,0
C0015,다이어트벨리댄스(야간),대전광역시남부여성가족원,36.301876,127.460308,목,19:00,댄스,0,1,0,1,0
C0016,"두뇌 스포츠, 체스 탐험대",문화열림터,35.196418,128.994933,화,16:00,생활체육,1,1,0,0,0
C0017,컨디션트레이닝 - 관절운동,송파구 평생학습원,37.499910,127.145628,화,10:00,생활체육,1,1,0,0,0
C0018,요가교실 주간반,평생학습관,33.249304,126.558544,화,14:00,요가,1,0,1,0,0
C0019,요가교실 주간반,평생학습관,33.249304,126.558544,목,14:00,요가,1,0,1,0,0
C0020,요가교실 야간반,평생학습관,33.249304,126.558544,화,19:00,요가,1,0,1,0,0
C0021,요가교실 야간반,평생학습관,33.249304,126.558544,목,19:00,요가,1,0,1,0,0
C0022,하와이 훌라댄스 초급반,평생학습관,33.249304,126.558544,수,10:00,댄스,0,1,0,1,0
C0023,하와이 훌라댄스 초급반,평생학습관,33.249304,126.558544,금,10:00,댄스,0,1,0,1,0
C0024,하와이 훌라댄스 중급반,평생학습관,33.249304,126.558544,수,12:00,댄스,0,1,0,1,0
C0025,하와이 훌라댄스 중급반,평생학습관,33.249304,126.558544,금,12:00,댄스,0,1,0,1,0
C0026,파워요가,경상북도 경산시 문화회관,35.911523,128.812804,월,19:00,요가,1,0,1,0,0
C0027,파워요가,경상북도 경산시 문화회관,35.911523,128.812804,목,19:00,요가,1,0,1,0,0
C0028,다이어트댄스,경상북도 경산시 문화회관,35.911523,128.812804,화,20:00,댄스,0,1,0,1,0
C0029,다이어트댄스,경상북도 경산시 문화회관,35.911523,128.812804,금,20:00,댄스,0,1,0,1,0
C0030,[야간]라인댄스(초급),체육실(지하),35.818745,128.733996,화,20:00,댄스,0,1,0,1,0
C0031,[야간]라인댄스(초급),체육실(지하),35.818745,128.733996,목,20:00,댄스,0,1,0,1,0
C0032,라인댄스(초급),체육실(지하),35.818745,128.733996,화,15:30,댄스,0,1,0,1,0
C0033,라인댄스(초급),체육실(지하),35.818745,128.733996,목,15:30,댄스,0,1,0,1,0
C0034,필라테스,경상북도 경산시 문화회관,35.911523,128.812804,화,18:50,필라테스,1,1,1,0,0
C0035,필라테스,경상북도 경산시 문화회관,35.911523,128.812804,금,18:50,필라테스,1,1,1,0,0
C0036,[야간]요가,체육실(지하),35.818745,128.733996,화,18:50,요가,1,0,1,0,0
C0037,[야간]요가,체육실(지하),35.818745,128.733996,목,18:50,요가,1,0,1,0,0
C0038,fun & joy 라인댄스,여주시 여성회관 요리교실,37.300185,127.652351,월,19:00,댄스,0,1,0,1,0
